poi_id,name,latitude,longitude,poi_type,category_detail,vibe,avg_cost,simulated_rating,dwell_time_minutes,popularity_score,opening_time,closing_time,time_block_suitability,is_central
0,Lotteria,10.7824512,106.6773049,Food_Dining,fast_food,Local,107586,3.93,55,0.335,06:00,22:00,"morning,afternoon,evening",False
1,Phở Số 1 Hà Nội,10.7848583,106.700098,Food_Dining,fast_food,Local,69946,4.55,80,0.399,06:00,22:00,"morning,afternoon,evening",False
2,Cà Phê Acoustic,10.7811643,106.6898451,Food_Dining,cafe,Chill,88092,4.52,89,0.507,07:00,23:00,"afternoon,evening",False
3,Cà Phê Sỏi Đá,10.7809198,106.689929,Food_Dining,cafe,Chill,87240,4.51,39,0.429,07:00,23:00,"afternoon,evening",False
4,Cà Phê Du Miên,10.7923386,106.6760528,Food_Dining,cafe,Chill,72882,3.98,53,0.336,07:00,23:00,"afternoon,evening",False
5,Cà Phê Mê Khúc,10.7987704,106.6865074,Food_Dining,cafe,Chill,56310,3.63,70,0.288,07:00,23:00,"afternoon,evening",False
6,Lotteria,10.8032942,106.69257,Food_Dining,fast_food,Local,51559,4.6,27,0.481,06:00,22:00,"morning,afternoon,evening",False
7,Lotteria,10.780071,106.7039377,Food_Dining,fast_food,Local,89333,3.52,42,0.38,06:00,22:00,"morning,afternoon,evening",False
8,KFC,10.7536456,106.6582631,Food_Dining,fast_food,Local,77869,4.49,64,0.517,06:00,22:00,"morning,afternoon,evening",False
9,Lotteria,10.7528814,106.6695842,Food_Dining,fast_food,Local,102457,4.18,70,0.331,06:00,22:00,"morning,afternoon,evening",False
10,KFC,10.7538633,106.6664001,Food_Dining,fast_food,Local,82289,4.7,68,0.397,06:00,22:00,"morning,afternoon,evening",False
11,KFC,10.8085023,106.6781748,Food_Dining,fast_food,Local,61914,4.54,65,0.429,06:00,22:00,"morning,afternoon,evening",False
12,KFC,10.7669666,106.6962301,Food_Dining,fast_food,Local,53024,4.18,59,0.839,06:00,22:00,"morning,afternoon,evening",True
