poi_id,name,latitude,longitude,poi_type,category_detail,vibe,avg_cost,simulated_rating,dwell_time_minutes,popularity_score,opening_time,closing_time,time_block_suitability,is_central,recommendation_score
0,Nhà Hàng Chay Hương Sen,10.769158,106.691298,Food_Dining,restaurant,Local,229938,4.16,91,0.717,06:00,22:00,morning|afternoon|evening,1,
1,Taj Mahal,10.76808,106.692539,Food_Dining,restaurant:curry;indian,Local,169501,4.33,79,0.771,06:00,22:00,morning|afternoon|evening,1,
2,POI_4583470690,10.769924,106.692518,Shopping,shop:supermarket,Local,85691,4.5,89,0.75,06:00,22:00,morning|afternoon|evening,1,
3,Circle K,10.769784,106.692493,Shopping,shop:convenience,Local,171159,3.78,73,0.56,06:00,22:00,morning|afternoon|evening,1,
4,Cửa Hàng Thời Trang Libe,10.770428,106.692123,Shopping,shop:clothes,Local,111028,4.05,43,0.737,06:00,22:00,morning|afternoon|evening,1,
5,Nike,10.769938,106.691345,Shopping,shop:clothes,Local,40767,4.05,64,0.772,06:00,22:00,morning|afternoon|evening,1,
6,WinMart+,10.76921,106.691756,Shopping,shop:convenience,Local,130687,3.68,33,0.683,06:00,22:00,morning|afternoon|evening,1,
7,WinMart+,10.769076,106.691142,Shopping,shop:convenience,Local,109774,4.31,35,0.762,06:00,22:00,morning|afternoon|evening,1,
8,Cà Phê Nhà Hàng Journeys Sandwich,10.770137,106.692342,Food_Dining,restaurant:sandwich,Local,330648,4.39,46,0.593,06:00,22:00,morning|afternoon|evening,1,
9,ABC Bakery,10.768371,106.692579,Shopping,shop:bakery,Local,167621,3.95,72,0.688,06:00,22:00,morning|afternoon|evening,1,
10,Bún Đậu Nhà Làm Home Made,10.769715,106.692575,Food_Dining,restaurant,Local,255968,3.78,89,0.72,06:00,22:00,morning|afternoon|evening,1,
11,Cửa Hàng Thời Trang SH,10.770028,106.692503,Shopping,shop:clothes,Local,151868,3.83,25,0.797,06:00,22:00,morning|afternoon|evening,1,
12,WinMart+,10.770341,106.691994,Shopping,shop:convenience,Local,81302,4.03,86,0.767,06:00,22:00,morning|afternoon|evening,1,
13,POI_6315388824,10.768221,106.692247,Shopping,shop:massage,Local,102449,3.96,34,0.534,06:00,22:00,morning|afternoon|evening,1,
14,Circle K,10.769963,106.692362,Shopping,shop:supermarket,Local,32831,3.9,60,0.6,06:00,22:00,morning|afternoon|evening,1,
15,Telephone bar,10.77084,106.691615,Food_Dining,bar,Party,193186,3.96,52,0.756,18:00,02:00,night,1,
16,Cửa Hàng Thời Trang An Phước,10.770238,106.691721,Shopping,shop:clothes,Local,47702,4.14,22,0.7,06:00,22:00,morning|afternoon|evening,1,
17,La Habana,10.769206,106.691688,Food_Dining,bar,Party,116072,3.81,74,0.697,18:00,02:00,night,1,
18,Nhà Hàng Âu Lạc - Healthy World,10.770013,106.691302,Food_Dining,restaurant:vietnamese;asian;sandwich,Local,196461,3.56,55,0.78,06:00,22:00,morning|afternoon|evening,1,
19,Cà Phê Hahn - Ankunft Bus,10.768378,106.692601,Food_Dining,cafe,Chill,38037,3.61,42,0.602,07:00,23:00,afternoon|evening,1,
20,Hạnh Cafe - Phạm Ngũ Lão,10.768193,106.69221,Food_Dining,cafe,Chill,100459,4.72,78,0.651,07:00,23:00,afternoon|evening,1,
21,POI_11433400369,10.768144,106.692097,Shopping,shop:convenience,Local,79287,3.89,61,0.775,06:00,22:00,morning|afternoon|evening,1,
22,Veggie Saigon,10.770591,106.691794,Food_Dining,restaurant,Local,370538,4.77,103,0.511,06:00,22:00,morning|afternoon|evening,1,
23,Bánh Canh Ghẹ Hẻm Mát,10.769746,106.691604,Food_Dining,restaurant:vietnamese,Local,320480,4.74,83,0.739,06:00,22:00,morning|afternoon|evening,1,
24,Off-Dry,10.770581,106.691827,Food_Dining,bar,Party,124560,4.03,47,0.625,18:00,02:00,night,1,
25,Thế Giới Di Động,10.775912,106.691343,Shopping,shop:mobile_phone,Local,113546,4.57,59,0.524,06:00,22:00,morning|afternoon|evening,1,
26,POI_4151397889,10.776203,106.692182,Food_Dining,cafe,Chill,117999,3.65,53,0.615,07:00,23:00,afternoon|evening,1,
27,Bánh Mì Hồng Hoa,10.770971,106.691615,Shopping,shop:bakery,Local,137480,4.22,81,0.725,06:00,22:00,morning|afternoon|evening,1,
28,Hủ Tiếu Sườn Né Đào,10.7719,106.692191,Food_Dining,restaurant,Local,335418,4.34,119,0.547,06:00,22:00,morning|afternoon|evening,1,
29,Cactus-Garden,10.774699,106.692279,Culture_History,attraction,Romantic,38778,4.31,65,0.87,17:00,23:30,evening|night,1,
30,Nhà Hàng 48 Bistro,10.771434,106.691936,Food_Dining,restaurant:regional;vietnamese,Local,225925,4.69,114,0.743,06:00,22:00,morning|afternoon|evening,1,
