poi_id,name,latitude,longitude,poi_type,category_detail,vibe,avg_cost,simulated_rating,dwell_time_minutes,popularity_score,opening_time,closing_time,time_block_suitability,is_central,recommendation_score
0,Nhà Hàng Chay Hương Sen,10.769158,106.691298,Food_Dining,restaurant,Local,229938,4.16,91,0.717,06:00,22:00,afternoon|evening|morning,1,0.714546715737874
1,Taj Mahal,10.76808,106.692539,Food_Dining,restaurant:curry;indian,Local,169501,4.33,79,0.771,06:00,22:00,afternoon|evening|morning,1,0.7557870696430264
2,POI_4583470690,10.769924,106.692518,Shopping,shop:supermarket,Local,85691,4.5,89,0.75,06:00,22:00,afternoon|evening|morning,1,0.7599331608758026
3,Circle K,10.769784,106.692493,Shopping,shop:convenience,Local,171159,3.78,73,0.56,06:00,22:00,afternoon|evening|morning,1,0.6123817778280078
4,Cửa Hàng Thời Trang Libe,10.770428,106.692123,Shopping,shop:clothes,Local,111028,4.05,43,0.737,06:00,22:00,afternoon|evening|morning,1,0.722322837472444
5,Nike,10.769938,106.691345,Shopping,shop:clothes,Local,40767,4.05,64,0.772,06:00,22:00,afternoon|evening|morning,1,0.7417219856324431
6,WinMart+,10.76921,106.691756,Shopping,shop:convenience,Local,130687,3.68,33,0.683,06:00,22:00,afternoon|evening|morning,1,0.6691467937907908
7,WinMart+,10.769076,106.691142,Shopping,shop:convenience,Local,109774,4.31,35,0.762,06:00,22:00,afternoon|evening|morning,1,0.7531794458850551
8,Cà Phê Nhà Hàng Journeys Sandwich,10.770137,106.692342,Food_Dining,restaurant:sandwich,Local,330648,4.39,46,0.593,06:00,22:00,afternoon|evening|morning,1,0.6664099695819363
9,ABC Bakery,10.768371,106.692579,Shopping,shop:bakery,Local,167621,3.95,72,0.688,06:00,22:00,afternoon|evening|morning,1,0.6881607888591736
10,Bún Đậu Nhà Làm Home Made,10.769715,106.692575,Food_Dining,restaurant,Local,255968,3.78,89,0.72,06:00,22:00,afternoon|evening|morning,1,0.6886322176003984
11,Cửa Hàng Thời Trang SH,10.770028,106.692503,Shopping,shop:clothes,Local,151868,3.83,25,0.797,06:00,22:00,afternoon|evening|morning,1,0.7358550719925631
